search URL:,https://patents.google.com/?country=CN&before=filing:20220104&after=filing:20220104&type=PATENT&sort=new
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CN-216513087-U,Ammonia nitrogen pollutant degradation device combining aquatic plants ,岳阳市洞庭水环境研究所,"方正辉, 何征雁, 肖文, 陈仕飞, 周威",2022-01-04,2022-01-04,2022-05-13,2022-05-13,https://patents.google.com/patent/CN216513087U/en,https://patentimages.storage.googleapis.com/3b/a0/5b/5eda69f2b924fc/HDA0003455112040000011.png
CN-115149989-A,Method and apparatus for sounding interval adaptation ,联发科技股份有限公司,"游豪志, 林普暄, 苏育廷",2020-04-01,2022-01-04,2022-10-04,,https://patents.google.com/patent/CN115149989A/en,https://patentimages.storage.googleapis.com/8c/b2/5b/9dfa30d8be565d/HDA0003455473590000011.png
CN-217493122-U,Cutting machine with multiple cutting heads ,厦门凯玥机器制造有限公司,"李龙, 蔡志军",2022-01-04,2022-01-04,2022-09-27,2022-09-27,https://patents.google.com/patent/CN217493122U/en,https://patentimages.storage.googleapis.com/93/c6/89/e8f7fbd0cf365b/HDA0003455568620000011.png
CN-114396335-A,Wind shield and fan assembly for vehicle ,东风汽车集团股份有限公司,"刘志同, 潘国强, 刘文丰",2022-01-04,2022-01-04,2022-04-26,,https://patents.google.com/patent/CN114396335A/en,https://patentimages.storage.googleapis.com/a4/39/8b/df48379daeb1a6/HDA0003455499810000011.png
CN-216483086-U,Multifunctional geological compass ,郝明,"郝明, 刘欢, 谢丹",2022-01-04,2022-01-04,2022-05-10,2022-05-10,https://patents.google.com/patent/CN216483086U/en,https://patentimages.storage.googleapis.com/30/21/a2/79b397629799a6/HDA0003455552270000011.png
CN-114319168-A,Mountain area road bed side slope protection structure of preventing collapsing ,北京市市政一建设工程有限责任公司,"张鹏, 周阳, 孙强, 王松涛, 戚鹏拓, 杨帆, 梁少凡, 涂玥, 相朝亮, 甄树凯, 张凤德, 陈克伟, 张冰, 韩邵阳, 贾月, 靳春林, 刘十朋",2022-01-04,2022-01-04,2022-04-12,,https://patents.google.com/patent/CN114319168A/en,https://patentimages.storage.googleapis.com/39/2c/b9/bf10f264a7c769/HDA0003454972530000011.png
CN-114182747-B,Foundation pit dewatering device for emergency construction ,北京建工集团有限责任公司,"张�成, 赵旭航, 孙致城, 芦洪俊, 刘寅, 康成哲, 李怀远, 胡阳成, 李春亮, 李翔, 蔡利春, 刘珍, 王永兴, 沈硕钊, 石晨浩, 朱耿涛, 王军, 关旭, 季洋洋, 王海峰",2022-01-04,2022-01-04,2022-09-20,2022-09-20,https://patents.google.com/patent/CN114182747B/en,https://patentimages.storage.googleapis.com/76/df/6d/2665377a0ee171/HDA0003454481480000011.png
CN-114348600-A,Full-automatic double-deck blowing equipment of adjustable output volume ,安徽省嘉瑞医药科技股份有限公司,"董安昌, 穆沛, 董兆柱",2022-01-04,2022-01-04,2022-04-15,,https://patents.google.com/patent/CN114348600A/en,https://patentimages.storage.googleapis.com/8b/51/25/0d644a3dba48f6/HDA0003455227410000011.png
CN-114019079-A,Biomarker for diagnosing Parkinson's disease and application thereof ,宝枫生物科技（北京）有限公司,"陈显扬, 宋王婷, 常婷婷, 张珂",2022-01-04,2022-01-04,2022-02-08,,https://patents.google.com/patent/CN114019079A/en,https://patentimages.storage.googleapis.com/0f/0d/9b/9d9bd554fd4ca4/211224172342.png
CN-216680951-U,High-precision welding positioning jig ,深圳市拓普发自动化设备有限公司,"雷建赛, 邝泽民, 丁和瀚",2022-01-04,2022-01-04,2022-06-07,2022-06-07,https://patents.google.com/patent/CN216680951U/en,https://patentimages.storage.googleapis.com/eb/2a/e9/2f8c1ba3880783/HDA0003455138680000011.png
CN-114313271-A,Missile-carrying multi-rotor unmanned aerial vehicle ,复旦大学,"龚帮民, 艾剑良",2022-01-04,2022-01-04,2022-04-12,,https://patents.google.com/patent/CN114313271A/en,https://patentimages.storage.googleapis.com/05/86/94/3b85b3c11149ea/HDA0003454659490000011.png
CN-216820469-U,Intelligent temperature control device ,"拓信达(启东)医药生物科技有限公司, 北京大学生命科学华东产业研究院","皮红军, 周威, 陆敏垒, 陆凯蕾, 吴晓发, 裘丹丽, 吴江, 沈南星",2022-01-04,2022-01-04,2022-06-24,2022-06-24,https://patents.google.com/patent/CN216820469U/en,https://patentimages.storage.googleapis.com/32/7b/a9/aa68079698e2dd/211229165553.png
CN-114302467-A,Method for rapidly grabbing adjacent station connected user to enter local station cell ,深圳市佳贤通信设备有限公司,"林旷, 刘春来",2022-01-04,2022-01-04,2022-04-08,,https://patents.google.com/patent/CN114302467A/en,https://patentimages.storage.googleapis.com/ec/3f/24/387c57d6a16b34/HDA0003454954480000012.png
CN-114511711-A,Multi-sequence image processing method and system and electronic device ,苏州国科康成医疗科技有限公司,"戴亚康, 周志勇, 胡冀苏, 钱旭升",2022-01-04,2022-01-04,2022-05-17,,https://patents.google.com/patent/CN114511711A/en,https://patentimages.storage.googleapis.com/65/6a/6c/1460a63a4ced75/HDA0003454902240000011.png
CN-216939062-U,Spot welder structure for earphone processing ,常州市音润电子有限公司,"张金明, 吴永萍",2022-01-04,2022-01-04,2022-07-12,2022-07-12,https://patents.google.com/patent/CN216939062U/en,https://patentimages.storage.googleapis.com/5a/f8/f2/f0fe89d198a592/2201012112251.png
CN-216623053-U,Water level controller ,国家能源集团国源电力有限公司,"王祥, 王大伟",2022-01-04,2022-01-04,2022-05-27,2022-05-27,https://patents.google.com/patent/CN216623053U/en,https://patentimages.storage.googleapis.com/8e/bf/37/03b2c85bb91eea/HDA0003455173360000011.png
CN-216700124-U,Remote visual intelligent control device ,深圳市凯歌电子有限公司,陈江波,2022-01-04,2022-01-04,2022-06-07,2022-06-07,https://patents.google.com/patent/CN216700124U/en,https://patentimages.storage.googleapis.com/a4/1a/60/7baf6dab7b9bec/HDA0003455513020000011.png
CN-114266241-A,"Comment usefulness prediction method, device and medium based on text and emotion polarity ",成都晓多科技有限公司,"江岭, 黄鹏, 王思宇",2022-01-04,2022-01-04,2022-04-01,,https://patents.google.com/patent/CN114266241A/en,https://patentimages.storage.googleapis.com/b8/cd/b5/fc0eddb7cd58d3/211229085555.png
CN-216746532-U,Torsion detection device for adjusting handle of steering wheel of vehicle ,新乡艾迪威汽车科技有限公司,"黄明, 陆银哲, 宋磊",2022-01-04,2022-01-04,2022-06-14,2022-06-14,https://patents.google.com/patent/CN216746532U/en,https://patentimages.storage.googleapis.com/0d/2a/ad/bde0cc617afcc3/2201041503271.png
CN-217009520-U,Dielectric phase shifter and base station antenna ,中信科移动通信技术股份有限公司,"杨耀庭, 汪振宇, 程伟, 孙彦明, 吴卫华",2022-01-04,2022-01-04,2022-07-19,2022-07-19,https://patents.google.com/patent/CN217009520U/en,https://patentimages.storage.googleapis.com/d1/9a/4d/a942139454b310/HDA0003455186000000011.png
CN-114461818-A,Information data-based rapid conversion transaction method and server ,广州搜料信息技术有限公司,"谢玉辉, 童大山",2022-01-04,2022-01-04,2022-05-10,,https://patents.google.com/patent/CN114461818A/en,https://patentimages.storage.googleapis.com/a3/43/11/403bbf2b4c339c/HDA0003455530150000011.png
CN-217048920-U,Folding steering assembly and scooter ,纳恩博（常州）科技有限公司,"曹冠, 王灿",2022-01-04,2022-01-04,2022-07-26,2022-07-26,https://patents.google.com/patent/CN217048920U/en,https://patentimages.storage.googleapis.com/32/f2/1a/0e00f0b1fb6eb8/HDA0003455585830000011.png
CN-217454359-U,Brick glazing device with overglaze ,佛山市三晶石陶瓷釉料有限公司,"刘建军, 黄艺真",2022-01-04,2022-01-04,2022-09-20,2022-09-20,https://patents.google.com/patent/CN217454359U/en,https://patentimages.storage.googleapis.com/a1/7a/73/568c02925edef0/HDA0003454190670000011.png
CN-114593513-A,Method and device for controlling air deflector of air conditioner to be closed and air conditioner ,"青岛海尔空调器有限总公司, 青岛海尔空调电子有限公司, 海尔智家股份有限公司","郝建领, 陈运东, 林金涛",2022-01-04,2022-01-04,2022-06-07,,https://patents.google.com/patent/CN114593513A/en,https://patentimages.storage.googleapis.com/89/03/3f/e2915bbda43e8c/HDA0003455454040000011.png
CN-216587747-U,Construction is with novel defeated material device ,山东二阳建筑工程有限公司,"韩红星, 王秀青, 胥佰涛",2022-01-04,2022-01-04,2022-05-24,2022-05-24,https://patents.google.com/patent/CN216587747U/en,https://patentimages.storage.googleapis.com/78/26/3c/3d50a49fbc8a07/HDA0003455404250000011.png
CN-216953814-U,Heating device for textile machinery ,沈阳友谊塑业有限公司,高亮杰,2022-01-04,2022-01-04,2022-07-12,2022-07-12,https://patents.google.com/patent/CN216953814U/en,https://patentimages.storage.googleapis.com/60/54/ef/030e39e6b78f51/HSA0000263446530000011.png
CN-114310204-A,Manufacturing method of radial guide vane body of boiler feed pump ,上海水泵制造有限公司,"李龙江, 蒋李, 余贤初, 陈永波",2022-01-04,2022-01-04,2022-04-12,,https://patents.google.com/patent/CN114310204A/en,https://patentimages.storage.googleapis.com/66/ad/da/2fee484895642c/HDA0003455150040000011.png
CN-114383003-A,Multimedia equipment for computer graphics teaching ,潍坊学院,"何辰, 孙垂莲",2022-01-04,2022-01-04,2022-04-22,,https://patents.google.com/patent/CN114383003A/en,https://patentimages.storage.googleapis.com/a3/22/75/27a4de6bb8b6c2/HDA0003454674250000011.png
CN-216424760-U,Unmanned aerial vehicle power bottom plate ,惠州城市职业学院(惠州商贸旅游高级职业技术学校),"黄惠豪, 刘林影, 容湘萍, 谭嘉祺, 徐晓雯",2022-01-04,2022-01-04,2022-05-03,2022-05-03,https://patents.google.com/patent/CN216424760U/en,https://patentimages.storage.googleapis.com/3b/df/32/b77f12adbe8819/DEST_PATH_HDA0003458534180000011.png
CN-216582140-U,Storage tank for functional beverage production ,广东景仲生物科技有限公司,"刘璐萍, 郑兆广, 李颖钏, 胡冰, 霍艳敏",2022-01-04,2022-01-04,2022-05-24,2022-05-24,https://patents.google.com/patent/CN216582140U/en,https://patentimages.storage.googleapis.com/ac/ab/78/e96ce4ab01b929/220104110427.png
CN-114312805-A,"Fuel consumption rate acquisition method and device, computer equipment and storage medium ",一汽解放汽车有限公司,"周宏扬, 杨蒙, 袁亮, 李中孝, 王国伟, 刘彦超",2022-01-04,2022-01-04,2022-04-12,,https://patents.google.com/patent/CN114312805A/en,https://patentimages.storage.googleapis.com/b5/ea/8a/b17fa07c703766/HDA0003454185310000011.png
CN-216904918-U,MoCA signal conversion equipment and routing equipment ,上海剑桥科技股份有限公司,耿其炜,2022-01-04,2022-01-04,2022-07-05,2022-07-05,https://patents.google.com/patent/CN216904918U/en,https://patentimages.storage.googleapis.com/aa/bd/6e/a6a44116e9df44/915936DEST_PATH_HDA0003587247930000011.png
CN-216615655-U,A clear car of picking up fast for road greening ,成都博林兴业环保科技有限公司,"刘生, 彭正兵, 赵勇",2022-01-04,2022-01-04,2022-05-27,2022-05-27,https://patents.google.com/patent/CN216615655U/en,https://patentimages.storage.googleapis.com/6f/0a/87/d09b894978d105/HDA0003454485370000011.png
CN-217899702-U,Lamp box and emergency lighting lamp thereof ,广东敏华电器有限公司,黄美琼,2022-01-04,2022-01-04,2022-11-25,2022-11-25,https://patents.google.com/patent/CN217899702U/en,https://patentimages.storage.googleapis.com/78/d7/9b/09765421218853/HDA0003455445970000011.png
CN-216542740-U,Metallographic sample handheld clamp and combined device ,湖南湘投金天钛金属股份有限公司,"李丽, 刘正乔, 孔玢, 蒋孟玲, 张孝军, 李卓",2022-01-04,2022-01-04,2022-05-17,2022-05-17,https://patents.google.com/patent/CN216542740U/en,https://patentimages.storage.googleapis.com/e0/b9/8f/a98c4c80bcd672/HDA0003454794350000011.png
CN-114324560-A,Preparation method and application of chip with hydrophilic-super-hydrophobic composite interface ,中科新芯纳米技术(常州)有限公司,"曾周芳, 王燕东",2022-01-04,2022-01-04,2022-04-12,,https://patents.google.com/patent/CN114324560A/en,https://patentimages.storage.googleapis.com/bf/12/e9/736f87a34882f8/HDA0003454668530000011.png
CN-114457487-A,Partition jacquard thermal-insulation gauze ,深圳全棉时代科技有限公司,"李建全, 周威, 石婷婷, 赵勇, 张欣淇",2022-01-04,2022-01-04,2022-05-10,,https://patents.google.com/patent/CN114457487A/en,https://patentimages.storage.googleapis.com/fa/5f/c5/5d025a19ed085c/HDA0003455212690000011.png
